floor,width,height,monster_pool,item_pool,chest_count,mimic_prob,trap_prob,min_lvl,max_lvl,map_type,has_boss,boss_count,boss_ids
1,60,40,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.055,0.053,1,3,NORMAL,0,0,
2,60,40,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.060,0.056,2,4,NORMAL,0,0,
3,60,40,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.065,0.059,3,5,NORMAL,0,0,
4,60,40,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.07,0.062,4,6,NORMAL,0,0,
5,65,45,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.075,0.065,5,7,NORMAL,0,0,
6,65,45,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.08,0.068,6,8,NORMAL,0,0,
7,65,45,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.085,0.071,7,9,NORMAL,0,0,
8,65,45,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.09,0.074,8,10,NORMAL,0,0,
9,65,45,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.095,0.077,9,11,NORMAL,0,0,
10,70,50,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.1,0.08,10,12,NORMAL,0,0,
11,70,50,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.105,0.083,11,13,NORMAL,0,0,
12,70,50,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.11,0.086,12,14,NORMAL,0,0,
13,70,50,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.115,0.089,13,15,NORMAL,0,0,
14,70,50,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.12,0.092,14,16,NORMAL,0,0,
15,75,55,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.125,0.095,15,17,NORMAL,0,0,
16,75,55,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.13,0.098,16,18,NORMAL,0,0,
17,75,55,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.135,0.101,17,19,NORMAL,0,0,
